carnet,nombre,carrera,departamento,promedio
EST002348,Estudiante 2348,Administración,Sonsonate,7.07
EST002349,Estudiante 2349,Administración,San Salvador,5.74
EST002350,Estudiante 2350,Contaduría,San Salvador,5.36
EST002351,Estudiante 2351,Contaduría,Sonsonate,5.37
EST002352,Estudiante 2352,Arquitectura,Sonsonate,9.9
EST002353,Estudiante 2353,Ingeniería en Sistemas,San Miguel,6.17
EST002354,Estudiante 2354,Contaduría,Sonsonate,6.14
EST002355,Estudiante 2355,Ingeniería en Sistemas,San Miguel,7.3
EST002356,Estudiante 2356,Ingeniería en Sistemas,Sonsonate,8.29
EST002357,Estudiante 2357,Ingeniería Industrial,San Miguel,9.35
EST002358,Estudiante 2358,Contaduría,La Libertad,8.42
EST002359,Estudiante 2359,Ingeniería Industrial,San Salvador,5.38
EST002360,Estudiante 2360,Contaduría,Santa Ana,7.45
EST002361,Estudiante 2361,Ingeniería Industrial,San Miguel,5.52
EST002362,Estudiante 2362,Ingeniería en Sistemas,San Miguel,7.0
EST002363,Estudiante 2363,Arquitectura,La Libertad,8.8
EST002364,Estudiante 2364,Administración,Santa Ana,8.69
EST002365,Estudiante 2365,Contaduría,Sonsonate,6.79
EST002366,Estudiante 2366,Contaduría,La Libertad,5.38
EST002367,Estudiante 2367,Ingeniería Industrial,La Libertad,6.87
EST002368,Estudiante 2368,Administración,San Salvador,5.01
EST002369,Estudiante 2369,Arquitectura,San Miguel,5.63
EST002370,Estudiante 2370,Ingeniería Industrial,La Libertad,9.96
EST002371,Estudiante 2371,Ingeniería en Sistemas,La Libertad,9.3
EST002372,Estudiante 2372,Ingeniería Industrial,San Salvador,6.2
EST002373,Estudiante 2373,Ingeniería Industrial,San Salvador,7.57
EST002374,Estudiante 2374,Arquitectura,San Miguel,9.28
EST002375,Estudiante 2375,Arquitectura,San Miguel,7.03
EST002376,Estudiante 2376,Ingeniería Industrial,San Salvador,7.22
EST002377,Estudiante 2377,Contaduría,San Salvador,6.1
EST002378,Estudiante 2378,Administración,Santa Ana,7.32
EST002379,Estudiante 2379,Ingeniería en Sistemas,San Salvador,5.44
EST002380,Estudiante 2380,Arquitectura,San Miguel,9.32
EST002381,Estudiante 2381,Arquitectura,La Libertad,7.02
EST002382,Estudiante 2382,Ingeniería Industrial,San Salvador,9.21
EST002383,Estudiante 2383,Administración,Sonsonate,6.57
EST002384,Estudiante 2384,Ingeniería Industrial,Santa Ana,5.11
EST002385,Estudiante 2385,Arquitectura,La Libertad,8.84
EST002386,Estudiante 2386,Ingeniería en Sistemas,Santa Ana,9.35
EST002387,Estudiante 2387,Ingeniería en Sistemas,Sonsonate,9.24
EST002388,Estudiante 2388,Ingeniería Industrial,Santa Ana,7.96
EST002389,Estudiante 2389,Arquitectura,Santa Ana,8.8
EST002390,Estudiante 2390,Administración,San Miguel,6.69
EST002391,Estudiante 2391,Ingeniería Industrial,San Miguel,8.77
EST002392,Estudiante 2392,Arquitectura,Sonsonate,7.42
EST002393,Estudiante 2393,Contaduría,San Salvador,7.12
EST002394,Estudiante 2394,Ingeniería en Sistemas,San Miguel,6.14
EST002395,Estudiante 2395,Arquitectura,Sonsonate,6.16
EST002396,Estudiante 2396,Ingeniería en Sistemas,Sonsonate,6.24
EST002397,Estudiante 2397,Ingeniería Industrial,San Miguel,7.25
EST002398,Estudiante 2398,Ingeniería en Sistemas,San Miguel,8.16
EST002399,Estudiante 2399,Contaduría,San Salvador,5.2
EST002400,Estudiante 2400,Administración,La Libertad,8.18
EST002401,Estudiante 2401,Ingeniería en Sistemas,San Salvador,8.63
EST002402,Estudiante 2402,Ingeniería en Sistemas,La Libertad,6.28
EST002403,Estudiante 2403,Contaduría,Santa Ana,9.04
EST002404,Estudiante 2404,Administración,Santa Ana,8.56
EST002405,Estudiante 2405,Administración,San Salvador,7.55
EST002406,Estudiante 2406,Contaduría,La Libertad,9.64
EST002407,Estudiante 2407,Administración,Sonsonate,6.67
EST002408,Estudiante 2408,Contaduría,Santa Ana,7.74
EST002409,Estudiante 2409,Ingeniería Industrial,San Salvador,5.02
EST002410,Estudiante 2410,Contaduría,La Libertad,5.26
EST002411,Estudiante 2411,Ingeniería Industrial,San Miguel,6.43
EST002412,Estudiante 2412,Contaduría,Santa Ana,5.89
EST002413,Estudiante 2413,Ingeniería en Sistemas,La Libertad,5.81
EST002414,Estudiante 2414,Contaduría,San Miguel,6.04
EST002415,Estudiante 2415,Ingeniería Industrial,Sonsonate,6.03
EST002416,Estudiante 2416,Ingeniería Industrial,Sonsonate,9.3
EST002417,Estudiante 2417,Ingeniería Industrial,Santa Ana,9.35
EST002418,Estudiante 2418,Contaduría,San Miguel,9.89
EST002419,Estudiante 2419,Contaduría,Sonsonate,9.36
EST002420,Estudiante 2420,Contaduría,La Libertad,6.37
EST002421,Estudiante 2421,Contaduría,Sonsonate,5.14
EST002422,Estudiante 2422,Ingeniería en Sistemas,Sonsonate,5.84
EST002423,Estudiante 2423,Contaduría,La Libertad,7.33
EST002424,Estudiante 2424,Administración,San Salvador,8.53
EST002425,Estudiante 2425,Ingeniería Industrial,La Libertad,6.51
EST002426,Estudiante 2426,Arquitectura,Sonsonate,6.84
EST002427,Estudiante 2427,Arquitectura,La Libertad,9.86
EST002428,Estudiante 2428,Ingeniería Industrial,Santa Ana,8.03
EST002429,Estudiante 2429,Administración,Sonsonate,8.28
EST002430,Estudiante 2430,Ingeniería Industrial,Santa Ana,8.46
EST002431,Estudiante 2431,Ingeniería en Sistemas,Santa Ana,8.54
EST002432,Estudiante 2432,Ingeniería Industrial,Santa Ana,7.59
EST002433,Estudiante 2433,Ingeniería en Sistemas,San Salvador,5.64
EST002434,Estudiante 2434,Administración,San Salvador,5.11
EST002435,Estudiante 2435,Arquitectura,Sonsonate,7.27
EST002436,Estudiante 2436,Ingeniería Industrial,La Libertad,9.47
EST002437,Estudiante 2437,Administración,La Libertad,6.73
EST002438,Estudiante 2438,Contaduría,La Libertad,8.93
EST002439,Estudiante 2439,Ingeniería Industrial,Santa Ana,6.18
EST002440,Estudiante 2440,Ingeniería Industrial,Sonsonate,6.03
EST002441,Estudiante 2441,Ingeniería en Sistemas,San Miguel,5.91
EST002442,Estudiante 2442,Ingeniería Industrial,Sonsonate,7.5
EST002443,Estudiante 2443,Arquitectura,Sonsonate,6.69
EST002444,Estudiante 2444,Ingeniería Industrial,San Salvador,5.47
EST002445,Estudiante 2445,Ingeniería Industrial,Santa Ana,7.85
EST002446,Estudiante 2446,Arquitectura,La Libertad,7.21
EST002447,Estudiante 2447,Administración,La Libertad,7.15
EST002448,Estudiante 2448,Contaduría,San Salvador,9.94
EST002449,Estudiante 2449,Arquitectura,La Libertad,6.58
EST002450,Estudiante 2450,Arquitectura,Sonsonate,8.9
EST002451,Estudiante 2451,Contaduría,San Miguel,6.33
EST002452,Estudiante 2452,Contaduría,San Miguel,6.03
EST002453,Estudiante 2453,Arquitectura,San Salvador,6.49
EST002454,Estudiante 2454,Administración,La Libertad,7.1
EST002455,Estudiante 2455,Arquitectura,San Salvador,8.54
EST002456,Estudiante 2456,Ingeniería en Sistemas,Santa Ana,5.24
EST002457,Estudiante 2457,Ingeniería Industrial,La Libertad,8.57
EST002458,Estudiante 2458,Ingeniería en Sistemas,Sonsonate,7.45
EST002459,Estudiante 2459,Contaduría,Santa Ana,6.69
EST002460,Estudiante 2460,Administración,Sonsonate,8.9
EST002461,Estudiante 2461,Administración,Santa Ana,9.8
EST002462,Estudiante 2462,Ingeniería Industrial,San Salvador,9.98
EST002463,Estudiante 2463,Ingeniería en Sistemas,San Miguel,9.22
EST002464,Estudiante 2464,Arquitectura,San Miguel,9.47
EST002465,Estudiante 2465,Ingeniería en Sistemas,Santa Ana,5.48
EST002466,Estudiante 2466,Administración,Sonsonate,5.43
EST002467,Estudiante 2467,Contaduría,Santa Ana,7.74
EST002468,Estudiante 2468,Arquitectura,San Miguel,5.29
EST002469,Estudiante 2469,Contaduría,La Libertad,9.34
EST002470,Estudiante 2470,Ingeniería Industrial,Sonsonate,8.79
EST002471,Estudiante 2471,Arquitectura,Sonsonate,7.44
EST002472,Estudiante 2472,Arquitectura,San Salvador,5.18
EST002473,Estudiante 2473,Ingeniería en Sistemas,San Salvador,9.15
EST002474,Estudiante 2474,Arquitectura,La Libertad,8.97
EST002475,Estudiante 2475,Ingeniería en Sistemas,Santa Ana,8.38
EST002476,Estudiante 2476,Arquitectura,Sonsonate,9.24
EST002477,Estudiante 2477,Arquitectura,Santa Ana,5.28
EST002478,Estudiante 2478,Administración,La Libertad,7.32
EST002479,Estudiante 2479,Arquitectura,La Libertad,9.68
EST002480,Estudiante 2480,Ingeniería en Sistemas,Sonsonate,5.26
EST002481,Estudiante 2481,Ingeniería Industrial,La Libertad,6.49
EST002482,Estudiante 2482,Arquitectura,Santa Ana,7.53
EST002483,Estudiante 2483,Arquitectura,Sonsonate,8.59
EST002484,Estudiante 2484,Ingeniería Industrial,San Salvador,8.42
EST002485,Estudiante 2485,Ingeniería en Sistemas,Sonsonate,9.99
EST002486,Estudiante 2486,Administración,Santa Ana,7.18
EST002487,Estudiante 2487,Ingeniería en Sistemas,Santa Ana,8.13
EST002488,Estudiante 2488,Ingeniería Industrial,Santa Ana,6.0
EST002489,Estudiante 2489,Ingeniería Industrial,La Libertad,7.01
EST002490,Estudiante 2490,Ingeniería en Sistemas,La Libertad,8.81
EST002491,Estudiante 2491,Administración,La Libertad,6.35
EST002492,Estudiante 2492,Arquitectura,Santa Ana,8.35
EST002493,Estudiante 2493,Arquitectura,Santa Ana,9.21
EST002494,Estudiante 2494,Administración,San Miguel,8.7
EST002495,Estudiante 2495,Contaduría,San Miguel,9.38
EST002496,Estudiante 2496,Ingeniería en Sistemas,La Libertad,6.1
EST002497,Estudiante 2497,Arquitectura,San Miguel,6.69
EST002498,Estudiante 2498,Ingeniería Industrial,Sonsonate,8.87
EST002499,Estudiante 2499,Administración,La Libertad,5.93
EST002500,Estudiante 2500,Administración,San Salvador,5.26
EST002501,Estudiante 2501,Arquitectura,Santa Ana,9.47
EST002502,Estudiante 2502,Ingeniería en Sistemas,San Miguel,8.23
EST002503,Estudiante 2503,Ingeniería Industrial,Sonsonate,6.08
EST002504,Estudiante 2504,Arquitectura,Santa Ana,9.49
EST002505,Estudiante 2505,Contaduría,Santa Ana,8.0
EST002506,Estudiante 2506,Contaduría,Sonsonate,5.39
EST002507,Estudiante 2507,Contaduría,San Salvador,8.47
EST002508,Estudiante 2508,Administración,Santa Ana,6.81
EST002509,Estudiante 2509,Arquitectura,Sonsonate,5.39
EST002510,Estudiante 2510,Contaduría,San Miguel,7.33
EST002511,Estudiante 2511,Arquitectura,Santa Ana,6.14
EST002512,Estudiante 2512,Arquitectura,Santa Ana,8.05
EST002513,Estudiante 2513,Administración,San Salvador,7.18
EST002514,Estudiante 2514,Ingeniería en Sistemas,Sonsonate,7.03
EST002515,Estudiante 2515,Administración,San Miguel,8.62
EST002516,Estudiante 2516,Arquitectura,Santa Ana,9.98
EST002517,Estudiante 2517,Administración,San Miguel,5.81
EST002518,Estudiante 2518,Arquitectura,San Miguel,8.93
EST002519,Estudiante 2519,Arquitectura,San Miguel,7.74
EST002520,Estudiante 2520,Arquitectura,Santa Ana,9.01
EST002521,Estudiante 2521,Administración,Santa Ana,9.98
EST002522,Estudiante 2522,Ingeniería Industrial,La Libertad,7.51
EST002523,Estudiante 2523,Contaduría,Santa Ana,6.55
EST002524,Estudiante 2524,Administración,San Salvador,9.23
EST002525,Estudiante 2525,Ingeniería en Sistemas,San Salvador,9.27
EST002526,Estudiante 2526,Arquitectura,La Libertad,8.51
EST002527,Estudiante 2527,Administración,San Salvador,6.81
EST002528,Estudiante 2528,Administración,San Salvador,5.41
EST002529,Estudiante 2529,Ingeniería Industrial,Santa Ana,6.8
EST002530,Estudiante 2530,Ingeniería en Sistemas,San Miguel,9.48
EST002531,Estudiante 2531,Contaduría,Sonsonate,8.71
EST002532,Estudiante 2532,Ingeniería Industrial,San Salvador,9.73
EST002533,Estudiante 2533,Administración,Santa Ana,8.78
EST002534,Estudiante 2534,Arquitectura,San Salvador,8.83
EST002535,Estudiante 2535,Ingeniería en Sistemas,La Libertad,5.05
EST002536,Estudiante 2536,Ingeniería Industrial,Sonsonate,7.82
EST002537,Estudiante 2537,Ingeniería Industrial,Sonsonate,7.55
EST002538,Estudiante 2538,Arquitectura,Santa Ana,5.62
EST002539,Estudiante 2539,Contaduría,Santa Ana,8.33
EST002540,Estudiante 2540,Contaduría,San Salvador,5.15
EST002541,Estudiante 2541,Arquitectura,La Libertad,6.28
EST002542,Estudiante 2542,Arquitectura,Santa Ana,6.24
EST002543,Estudiante 2543,Contaduría,La Libertad,8.03
EST002544,Estudiante 2544,Contaduría,Sonsonate,7.11
EST002545,Estudiante 2545,Arquitectura,La Libertad,7.87
EST002546,Estudiante 2546,Ingeniería en Sistemas,Santa Ana,7.55
EST002547,Estudiante 2547,Ingeniería en Sistemas,San Salvador,5.41
EST002548,Estudiante 2548,Ingeniería Industrial,Santa Ana,8.1
EST002549,Estudiante 2549,Arquitectura,San Salvador,6.38
EST002550,Estudiante 2550,Administración,San Salvador,5.37
EST002551,Estudiante 2551,Ingeniería en Sistemas,Sonsonate,8.95
EST002552,Estudiante 2552,Ingeniería Industrial,Sonsonate,8.23
EST002553,Estudiante 2553,Ingeniería en Sistemas,San Salvador,6.78
EST002554,Estudiante 2554,Arquitectura,La Libertad,5.37
EST002555,Estudiante 2555,Ingeniería Industrial,San Salvador,7.84
EST002556,Estudiante 2556,Administración,San Miguel,9.2
EST002557,Estudiante 2557,Ingeniería Industrial,Santa Ana,8.88
EST002558,Estudiante 2558,Ingeniería en Sistemas,La Libertad,8.68
EST002559,Estudiante 2559,Ingeniería en Sistemas,San Salvador,5.13
EST002560,Estudiante 2560,Contaduría,Sonsonate,9.78
EST002561,Estudiante 2561,Ingeniería en Sistemas,Santa Ana,6.73
EST002562,Estudiante 2562,Contaduría,Sonsonate,6.04
EST002563,Estudiante 2563,Ingeniería en Sistemas,Santa Ana,5.36
EST002564,Estudiante 2564,Arquitectura,Santa Ana,8.95
EST002565,Estudiante 2565,Ingeniería en Sistemas,La Libertad,8.96
EST002566,Estudiante 2566,Contaduría,San Miguel,5.28
EST002567,Estudiante 2567,Contaduría,Santa Ana,9.03
EST002568,Estudiante 2568,Contaduría,San Salvador,7.13
EST002569,Estudiante 2569,Ingeniería Industrial,Santa Ana,7.9
EST002570,Estudiante 2570,Arquitectura,La Libertad,8.95
EST002571,Estudiante 2571,Arquitectura,La Libertad,7.9
EST002572,Estudiante 2572,Contaduría,Sonsonate,6.52
EST002573,Estudiante 2573,Arquitectura,San Miguel,9.89
EST002574,Estudiante 2574,Ingeniería en Sistemas,La Libertad,6.79
EST002575,Estudiante 2575,Administración,Sonsonate,6.66
EST002576,Estudiante 2576,Ingeniería en Sistemas,San Salvador,8.94
EST002577,Estudiante 2577,Administración,San Salvador,7.74
EST002578,Estudiante 2578,Ingeniería en Sistemas,La Libertad,6.12
EST002579,Estudiante 2579,Ingeniería en Sistemas,La Libertad,8.97
EST002580,Estudiante 2580,Ingeniería Industrial,San Salvador,5.4
EST002581,Estudiante 2581,Ingeniería Industrial,San Salvador,7.67
EST002582,Estudiante 2582,Administración,Sonsonate,8.01
EST002583,Estudiante 2583,Arquitectura,La Libertad,5.73
EST002584,Estudiante 2584,Ingeniería Industrial,La Libertad,8.06
EST002585,Estudiante 2585,Ingeniería en Sistemas,La Libertad,7.37
EST002586,Estudiante 2586,Arquitectura,Santa Ana,5.76
EST002587,Estudiante 2587,Contaduría,La Libertad,8.41
EST002588,Estudiante 2588,Administración,San Miguel,9.85
EST002589,Estudiante 2589,Contaduría,Santa Ana,9.4
EST002590,Estudiante 2590,Contaduría,La Libertad,6.52
EST002591,Estudiante 2591,Arquitectura,San Salvador,6.2
EST002592,Estudiante 2592,Administración,Santa Ana,8.85
EST002593,Estudiante 2593,Ingeniería en Sistemas,San Miguel,7.28
EST002594,Estudiante 2594,Ingeniería Industrial,San Salvador,9.54
EST002595,Estudiante 2595,Contaduría,La Libertad,9.8
EST002596,Estudiante 2596,Ingeniería Industrial,La Libertad,9.2
EST002597,Estudiante 2597,Arquitectura,Sonsonate,9.94
EST002598,Estudiante 2598,Ingeniería Industrial,Sonsonate,8.22
EST002599,Estudiante 2599,Contaduría,Santa Ana,5.55
EST002600,Estudiante 2600,Contaduría,La Libertad,5.45
EST002601,Estudiante 2601,Administración,San Miguel,6.32
EST002602,Estudiante 2602,Ingeniería en Sistemas,Sonsonate,7.99
EST002603,Estudiante 2603,Administración,Santa Ana,8.82
EST002604,Estudiante 2604,Ingeniería en Sistemas,Santa Ana,8.04
EST002605,Estudiante 2605,Ingeniería Industrial,Santa Ana,6.63
EST002606,Estudiante 2606,Contaduría,San Salvador,7.49
EST002607,Estudiante 2607,Contaduría,San Miguel,7.98
EST002608,Estudiante 2608,Administración,Santa Ana,8.57
EST002609,Estudiante 2609,Administración,San Salvador,6.11
EST002610,Estudiante 2610,Ingeniería en Sistemas,San Miguel,9.67
EST002611,Estudiante 2611,Ingeniería Industrial,San Salvador,6.66
EST002612,Estudiante 2612,Arquitectura,San Salvador,5.2
EST002613,Estudiante 2613,Administración,San Salvador,9.82
EST002614,Estudiante 2614,Contaduría,San Miguel,8.97
EST002615,Estudiante 2615,Ingeniería Industrial,La Libertad,9.7
EST002616,Estudiante 2616,Arquitectura,San Salvador,9.95
EST002617,Estudiante 2617,Ingeniería en Sistemas,San Salvador,5.93
EST002618,Estudiante 2618,Arquitectura,Santa Ana,7.8
EST002619,Estudiante 2619,Contaduría,La Libertad,8.08
EST002620,Estudiante 2620,Arquitectura,San Salvador,7.54
EST002621,Estudiante 2621,Contaduría,La Libertad,8.68
EST002622,Estudiante 2622,Contaduría,San Salvador,9.76
EST002623,Estudiante 2623,Arquitectura,San Miguel,5.46
EST002624,Estudiante 2624,Arquitectura,San Salvador,8.12
EST002625,Estudiante 2625,Ingeniería en Sistemas,Santa Ana,9.56
EST002626,Estudiante 2626,Arquitectura,San Miguel,5.17
EST002627,Estudiante 2627,Ingeniería Industrial,San Salvador,5.19
EST002628,Estudiante 2628,Contaduría,San Miguel,5.43
EST002629,Estudiante 2629,Contaduría,Santa Ana,9.65
EST002630,Estudiante 2630,Ingeniería Industrial,San Miguel,9.02
EST002631,Estudiante 2631,Contaduría,San Salvador,9.98
EST002632,Estudiante 2632,Arquitectura,Santa Ana,7.27
EST002633,Estudiante 2633,Arquitectura,Santa Ana,7.22
EST002634,Estudiante 2634,Ingeniería Industrial,Sonsonate,7.97
EST002635,Estudiante 2635,Ingeniería en Sistemas,Santa Ana,6.26
EST002636,Estudiante 2636,Ingeniería Industrial,La Libertad,5.94
EST002637,Estudiante 2637,Contaduría,San Miguel,6.2
EST002638,Estudiante 2638,Arquitectura,San Salvador,5.83
EST002639,Estudiante 2639,Arquitectura,Sonsonate,6.79
EST002640,Estudiante 2640,Administración,San Salvador,7.84
EST002641,Estudiante 2641,Ingeniería Industrial,Santa Ana,7.2
EST002642,Estudiante 2642,Ingeniería Industrial,Sonsonate,8.15
EST002643,Estudiante 2643,Contaduría,Santa Ana,7.5
EST002644,Estudiante 2644,Ingeniería Industrial,San Salvador,7.03
EST002645,Estudiante 2645,Administración,San Salvador,8.12
EST002646,Estudiante 2646,Ingeniería en Sistemas,Sonsonate,5.68
EST002647,Estudiante 2647,Arquitectura,San Salvador,7.36
EST002648,Estudiante 2648,Ingeniería en Sistemas,Sonsonate,5.5
EST002649,Estudiante 2649,Arquitectura,San Miguel,9.76
EST002650,Estudiante 2650,Ingeniería Industrial,San Salvador,8.53
EST002651,Estudiante 2651,Arquitectura,Santa Ana,7.7
EST002652,Estudiante 2652,Administración,La Libertad,6.94
EST002653,Estudiante 2653,Administración,San Salvador,5.09
EST002654,Estudiante 2654,Administración,San Salvador,7.42
EST002655,Estudiante 2655,Ingeniería Industrial,Sonsonate,7.56
EST002656,Estudiante 2656,Arquitectura,Sonsonate,7.41
EST002657,Estudiante 2657,Ingeniería Industrial,San Miguel,9.1
EST002658,Estudiante 2658,Arquitectura,San Salvador,7.22
EST002659,Estudiante 2659,Ingeniería Industrial,La Libertad,6.9
EST002660,Estudiante 2660,Contaduría,San Salvador,8.03
EST002661,Estudiante 2661,Arquitectura,San Miguel,7.65
EST002662,Estudiante 2662,Contaduría,Santa Ana,9.52
EST002663,Estudiante 2663,Administración,La Libertad,8.35
EST002664,Estudiante 2664,Ingeniería Industrial,San Salvador,9.78
EST002665,Estudiante 2665,Administración,San Salvador,6.55
EST002666,Estudiante 2666,Administración,San Miguel,7.1
EST002667,Estudiante 2667,Contaduría,La Libertad,5.13
EST002668,Estudiante 2668,Administración,Santa Ana,6.87
EST002669,Estudiante 2669,Ingeniería Industrial,Sonsonate,7.62
EST002670,Estudiante 2670,Ingeniería Industrial,La Libertad,6.41
EST002671,Estudiante 2671,Contaduría,La Libertad,6.72
EST002672,Estudiante 2672,Ingeniería Industrial,San Salvador,5.67
EST002673,Estudiante 2673,Ingeniería en Sistemas,Sonsonate,9.64
EST002674,Estudiante 2674,Arquitectura,San Miguel,5.26
EST002675,Estudiante 2675,Contaduría,San Salvador,6.8
EST002676,Estudiante 2676,Contaduría,San Miguel,8.45
EST002677,Estudiante 2677,Arquitectura,San Salvador,8.04
EST002678,Estudiante 2678,Administración,Sonsonate,8.45
EST002679,Estudiante 2679,Ingeniería Industrial,San Salvador,9.94
EST002680,Estudiante 2680,Contaduría,La Libertad,6.63
EST002681,Estudiante 2681,Contaduría,San Salvador,7.21
EST002682,Estudiante 2682,Administración,San Miguel,9.75
EST002683,Estudiante 2683,Ingeniería en Sistemas,Santa Ana,5.13
EST002684,Estudiante 2684,Arquitectura,San Salvador,7.63
EST002685,Estudiante 2685,Ingeniería en Sistemas,Sonsonate,6.06
EST002686,Estudiante 2686,Administración,Sonsonate,6.59
EST002687,Estudiante 2687,Ingeniería en Sistemas,San Miguel,7.65
EST002688,Estudiante 2688,Administración,Sonsonate,8.55
EST002689,Estudiante 2689,Administración,La Libertad,5.34
EST002690,Estudiante 2690,Ingeniería en Sistemas,La Libertad,5.5
EST002691,Estudiante 2691,Administración,San Miguel,8.7
EST002692,Estudiante 2692,Administración,San Miguel,6.51
EST002693,Estudiante 2693,Ingeniería Industrial,Santa Ana,7.9
EST002694,Estudiante 2694,Ingeniería Industrial,San Salvador,8.56
EST002695,Estudiante 2695,Arquitectura,San Salvador,7.11
EST002696,Estudiante 2696,Ingeniería Industrial,San Miguel,8.39
EST002697,Estudiante 2697,Contaduría,Santa Ana,5.57
EST002698,Estudiante 2698,Administración,La Libertad,5.22
EST002699,Estudiante 2699,Administración,Santa Ana,5.18
EST002700,Estudiante 2700,Ingeniería en Sistemas,La Libertad,8.76
EST002701,Estudiante 2701,Administración,Santa Ana,6.54
EST002702,Estudiante 2702,Arquitectura,Sonsonate,6.58
EST002703,Estudiante 2703,Contaduría,La Libertad,5.86
EST002704,Estudiante 2704,Administración,Sonsonate,8.76
EST002705,Estudiante 2705,Administración,San Salvador,6.57
EST002706,Estudiante 2706,Contaduría,Santa Ana,5.01
EST002707,Estudiante 2707,Ingeniería en Sistemas,Sonsonate,6.82
EST002708,Estudiante 2708,Ingeniería Industrial,San Miguel,7.18
EST002709,Estudiante 2709,Contaduría,Santa Ana,6.42
EST002710,Estudiante 2710,Administración,Sonsonate,8.98
EST002711,Estudiante 2711,Ingeniería en Sistemas,La Libertad,5.59
EST002712,Estudiante 2712,Ingeniería en Sistemas,Santa Ana,7.97
EST002713,Estudiante 2713,Arquitectura,San Salvador,9.95
EST002714,Estudiante 2714,Ingeniería en Sistemas,San Salvador,6.07
EST002715,Estudiante 2715,Ingeniería en Sistemas,Santa Ana,6.53
EST002716,Estudiante 2716,Arquitectura,San Salvador,6.29
EST002717,Estudiante 2717,Arquitectura,Santa Ana,7.9
EST002718,Estudiante 2718,Ingeniería en Sistemas,San Miguel,8.19
EST002719,Estudiante 2719,Contaduría,Sonsonate,8.52
EST002720,Estudiante 2720,Ingeniería Industrial,San Salvador,8.73
EST002721,Estudiante 2721,Contaduría,Santa Ana,5.45
EST002722,Estudiante 2722,Contaduría,Santa Ana,5.54
EST002723,Estudiante 2723,Contaduría,Santa Ana,7.77
EST002724,Estudiante 2724,Ingeniería Industrial,La Libertad,5.33
EST002725,Estudiante 2725,Administración,San Miguel,5.16
EST002726,Estudiante 2726,Ingeniería en Sistemas,San Miguel,5.11
EST002727,Estudiante 2727,Administración,San Salvador,6.95
EST002728,Estudiante 2728,Contaduría,San Miguel,5.1
EST002729,Estudiante 2729,Administración,Sonsonate,6.72
EST002730,Estudiante 2730,Administración,La Libertad,8.18
EST002731,Estudiante 2731,Arquitectura,Sonsonate,5.73
EST002732,Estudiante 2732,Ingeniería Industrial,Sonsonate,9.27
EST002733,Estudiante 2733,Ingeniería Industrial,Santa Ana,9.07
EST002734,Estudiante 2734,Ingeniería en Sistemas,San Salvador,6.83
EST002735,Estudiante 2735,Ingeniería Industrial,Santa Ana,6.92
EST002736,Estudiante 2736,Arquitectura,La Libertad,5.03
EST002737,Estudiante 2737,Ingeniería Industrial,San Salvador,5.03
EST002738,Estudiante 2738,Contaduría,Santa Ana,6.12
EST002739,Estudiante 2739,Arquitectura,San Salvador,5.81
EST002740,Estudiante 2740,Ingeniería en Sistemas,Santa Ana,5.09
EST002741,Estudiante 2741,Administración,Santa Ana,8.19
EST002742,Estudiante 2742,Contaduría,Santa Ana,8.51
EST002743,Estudiante 2743,Ingeniería en Sistemas,La Libertad,8.27
EST002744,Estudiante 2744,Arquitectura,Santa Ana,6.3
EST002745,Estudiante 2745,Administración,Sonsonate,7.95
EST002746,Estudiante 2746,Ingeniería en Sistemas,Sonsonate,8.81
EST002747,Estudiante 2747,Arquitectura,La Libertad,9.47
EST002748,Estudiante 2748,Contaduría,La Libertad,5.61
EST002749,Estudiante 2749,Contaduría,Sonsonate,5.91
EST002750,Estudiante 2750,Administración,Santa Ana,6.34
EST002751,Estudiante 2751,Administración,Sonsonate,7.47
EST002752,Estudiante 2752,Arquitectura,San Miguel,7.86
EST002753,Estudiante 2753,Ingeniería Industrial,San Miguel,6.19
EST002754,Estudiante 2754,Arquitectura,San Salvador,7.31
EST002755,Estudiante 2755,Ingeniería en Sistemas,La Libertad,7.04
EST002756,Estudiante 2756,Ingeniería Industrial,San Salvador,9.91
EST002757,Estudiante 2757,Ingeniería Industrial,La Libertad,6.93
EST002758,Estudiante 2758,Ingeniería en Sistemas,San Salvador,8.64
EST002759,Estudiante 2759,Contaduría,La Libertad,6.05
EST002760,Estudiante 2760,Contaduría,San Salvador,9.16
EST002761,Estudiante 2761,Arquitectura,La Libertad,5.64
EST002762,Estudiante 2762,Ingeniería en Sistemas,Santa Ana,5.8
EST002763,Estudiante 2763,Contaduría,Sonsonate,8.56
EST002764,Estudiante 2764,Ingeniería en Sistemas,Sonsonate,6.19
EST002765,Estudiante 2765,Arquitectura,Sonsonate,5.21
EST002766,Estudiante 2766,Arquitectura,La Libertad,7.32
EST002767,Estudiante 2767,Arquitectura,Sonsonate,6.68
EST002768,Estudiante 2768,Administración,San Salvador,5.68
EST002769,Estudiante 2769,Arquitectura,San Salvador,8.43
EST002770,Estudiante 2770,Ingeniería en Sistemas,Sonsonate,6.09
EST002771,Estudiante 2771,Ingeniería Industrial,Santa Ana,9.78
EST002772,Estudiante 2772,Administración,La Libertad,7.3
EST002773,Estudiante 2773,Ingeniería Industrial,La Libertad,5.98
EST002774,Estudiante 2774,Ingeniería en Sistemas,San Salvador,5.14
EST002775,Estudiante 2775,Administración,La Libertad,6.26
